Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1989,20,CHW,AL,33,115,99,19,27,5,0,3,10,7,3,11,27,.273,.351,.414,.765,118,41,3,2,1,2,2,8/9D7,
1990,21,CHW,AL,153,579,532,72,124,26,10,15,70,32,16,33,150,.233,.282,.404,.687,92,215,10,6,2,6,4,*9/8,
1991,22,CHW,AL,116,338,316,39,64,10,1,10,33,13,6,14,98,.203,.240,.335,.576,59,106,5,2,5,1,2,*98/D7,
1992,23,CHC,NL,67,291,262,41,68,7,2,8,25,15,7,19,63,.260,.317,.393,.710,99,103,4,4,4,2,1,8,
1993,24,CHC,NL,159,641,598,92,156,25,5,33,93,36,11,38,135,.261,.309,.485,.794,111,290,14,4,0,1,6,*98,
1994,25,CHC,NL,105,458,426,59,128,17,6,25,70,22,13,25,92,.300,.339,.545,.884,127,232,7,2,1,4,1,*98,
1995,26,CHC,NL,144,629,564,89,151,17,3,36,119,34,7,58,134,.268,.340,.500,.840,121,282,8,5,0,2,11,*9,ASMVP-8SS
1996,27,CHC,NL,124,541,498,84,136,21,2,40,100,18,5,34,134,.273,.323,.564,.888,126,281,14,5,0,4,6,*9,MVP-15
1997,28,CHC,NL,162,694,642,90,161,31,4,36,119,22,12,45,174,.251,.300,.480,.779,99,308,16,2,0,5,9,*9,MVP-19
1998,29,CHC,NL,159,722,643,134,198,20,0,66,158,18,9,73,171,.308,.377,.647,1.024,160,416,20,1,0,5,14,*9/8,ASMVP-1SS
1999,30,CHC,NL,162,712,625,114,180,24,2,63,141,7,8,78,171,.288,.367,.635,1.002,151,397,17,3,0,6,8,*98,ASMVP-9SS
2000,31,CHC,NL,156,705,604,106,193,38,1,50,138,7,4,91,168,.320,.406,.634,1.040,161,383,12,2,0,8,19,*9/8,ASMVP-9SS
2001,32,CHC,NL,160,711,577,146,189,34,5,64,160,0,2,116,153,.328,.437,.737,1.174,203,425,6,6,0,12,37,*9,ASMVP-2SS
2002,33,CHC,NL,150,666,556,122,160,19,2,49,108,2,0,103,144,.288,.399,.594,.993,160,330,14,3,0,4,15,*9,ASMVP-9SS
2003,34,CHC,NL,137,589,517,99,144,22,0,40,103,0,1,62,143,.279,.358,.553,.911,133,286,14,5,0,5,9,*9,MVP-8
2004,35,CHC,NL,126,539,478,69,121,21,0,35,80,0,0,56,133,.253,.332,.517,.849,113,247,9,2,0,3,4,*9/D,AS
2005,36,BAL,AL,102,424,380,39,84,15,1,14,45,1,1,39,84,.221,.295,.376,.671,78,143,15,2,0,3,3,9D,
